expirationDate,daysToExpiration,bid,ask,strikePrice,totalVolume,volatility,delta,gamma,theta,vega,stock_price
2023-02-17,49,16.7,16.85,115.0,93,44.373,0.78,0.014,-0.068,0.139,129.61
2023-02-17,49,12.95,13.1,120.0,40,42.397,0.703,0.017,-0.076,0.163,129.61
2023-02-17,49,9.65,9.75,125.0,188,40.726,0.609,0.02,-0.08,0.181,129.61
2023-02-17,49,6.8,6.9,130.0,3107,39.006,0.504,0.022,-0.079,0.188,129.61
2023-02-17,49,4.55,4.6,135.0,3018,37.344,0.394,0.022,-0.072,0.182,129.61
2023-02-17,49,2.85,2.87,140.0,986,35.85,0.288,0.02,-0.061,0.161,129.61
2023-02-17,49,1.69,1.7,145.0,1694,34.777,0.197,0.017,-0.048,0.131,129.61
2023-02-17,49,0.96,0.98,150.0,2551,34.102,0.127,0.013,-0.035,0.098,129.61
2023-02-17,49,0.54,0.56,155.0,565,33.966,0.079,0.009,-0.025,0.07,129.61
2023-02-17,49,0.31,0.33,160.0,271,34.226,0.05,0.006,-0.017,0.048,129.61
2023-02-17,49,0.19,0.2,165.0,787,34.847,0.032,0.004,-0.012,0.034,129.61
2023-02-17,49,0.12,0.13,170.0,1625,35.714,0.021,0.003,-0.009,0.024,129.61
2023-02-17,49,0.08,0.09,175.0,189,36.791,0.014,0.002,-0.007,0.017,129.61
2023-02-17,49,0.05,0.06,180.0,18,37.536,0.01,0.001,-0.005,0.012,129.61
2023-02-17,49,0.04,0.05,185.0,90,39.242,0.008,0.001,-0.004,0.01,129.61
2023-02-17,49,0.03,0.04,190.0,1,40.592,0.006,0.001,-0.003,0.008,129.61
2023-02-17,49,0.02,0.03,195.0,0,41.471,0.004,0.001,-0.003,0.006,129.61
2023-02-17,49,0.01,0.02,200.0,56,41.589,0.003,0.0,-0.002,0.004,129.61
2023-03-17,77,68.7,68.95,60.0,0,69.37,0.992,0.0,-0.007,0.009,129.61
2023-03-17,77,63.8,64.1,65.0,0,66.187,0.989,0.001,-0.009,0.013,129.61
2023-03-17,77,58.9,59.15,70.0,5,63.294,0.985,0.001,-0.012,0.019,129.61
2023-03-17,77,54.05,54.3,75.0,0,60.307,0.979,0.001,-0.015,0.026,129.61
2023-03-17,77,49.2,49.45,80.0,1,57.408,0.971,0.002,-0.018,0.035,129.61
2023-03-17,77,44.4,44.65,85.0,0,54.484,0.961,0.002,-0.022,0.047,129.61
2023-03-17,77,39.65,39.85,90.0,3,51.876,0.946,0.003,-0.027,0.062,129.61
2023-03-17,77,35.0,35.25,95.0,1,49.46,0.926,0.005,-0.032,0.08,129.61
2023-03-17,77,30.5,30.65,100.0,7,47.207,0.899,0.006,-0.038,0.103,129.61
2023-03-17,77,26.1,26.25,105.0,5,45.152,0.863,0.008,-0.044,0.128,129.61
2023-03-17,77,21.95,22.1,110.0,122,43.305,0.816,0.01,-0.05,0.156,129.61
2023-03-17,77,18.05,18.2,115.0,15,41.566,0.758,0.013,-0.056,0.183,129.61
2023-03-17,77,14.4,14.6,120.0,128,39.983,0.689,0.015,-0.06,0.208,129.61
2023-03-17,77,11.2,11.3,125.0,120,38.368,0.609,0.017,-0.062,0.226,129.61
2023-03-17,77,8.4,8.5,130.0,641,37.242,0.521,0.018,-0.062,0.235,129.61
2023-03-17,77,6.05,6.1,135.0,791,35.761,0.428,0.018,-0.058,0.232,129.61
2023-03-17,77,4.15,4.25,140.0,721,34.42,0.336,0.018,-0.051,0.216,129.61
2023-03-17,77,2.77,2.79,145.0,1642,33.444,0.252,0.016,-0.043,0.189,129.61
2023-03-17,77,1.79,1.8,150.0,1070,32.777,0.182,0.014,-0.035,0.156,129.61
2023-03-17,77,1.12,1.14,155.0,567,32.294,0.126,0.011,-0.027,0.123,129.61
2023-03-17,77,0.7,0.72,160.0,131,32.113,0.086,0.008,-0.02,0.093,129.61
2023-03-17,77,0.45,0.46,165.0,138,32.245,0.059,0.006,-0.015,0.069,129.61
2023-03-17,77,0.29,0.3,170.0,526,32.516,0.04,0.004,-0.011,0.051,129.61
2023-03-17,77,0.19,0.2,175.0,52,32.911,0.028,0.003,-0.008,0.037,129.61
2023-03-17,77,0.13,0.14,180.0,150,33.517,0.02,0.002,-0.006,0.028,129.61
2023-03-17,77,0.09,0.1,185.0,37,34.146,0.014,0.002,-0.005,0.021,129.61
2023-03-17,77,0.06,0.07,190.0,43,34.605,0.01,0.001,-0.004,0.016,129.61
2023-03-17,77,0.04,0.06,195.0,3,35.497,0.008,0.001,-0.003,0.012,129.61
2023-03-17,77,0.03,0.04,200.0,32,35.952,0.005,0.001,-0.002,0.009,129.61
2023-03-17,77,0.02,0.03,210.0,13,38.115,0.004,0.0,-0.002,0.007,129.61
2023-04-21,112,78.8,79.2,50.0,0,69.411,0.993,0.0,-0.006,0.008,129.61
2023-04-21,112,69.05,69.4,60.0,0,63.36,0.988,0.001,-0.009,0.017,129.61
2023-04-21,112,64.2,64.5,65.0,0,60.623,0.984,0.001,-0.011,0.024,129.61
2023-04-21,112,59.35,59.7,70.0,0,57.991,0.978,0.001,-0.014,0.033,129.61
2023-04-21,112,54.6,54.9,75.0,0,55.517,0.971,0.002,-0.017,0.044,129.61
2023-04-21,112,49.85,50.15,80.0,0,53.074,0.961,0.002,-0.02,0.057,129.61
2023-04-21,112,45.15,45.45,85.0,0,50.732,0.947,0.003,-0.023,0.073,129.61
2023-04-21,112,40.5,40.8,90.0,0,48.636,0.93,0.004,-0.027,0.093,129.61
2023-04-21,112,35.95,36.3,95.0,0,46.647,0.907,0.005,-0.031,0.116,129.61
